fname,Compiler for Instance,Compiler for Class,Compile Instance,build query,compile context, normalize ty,resolve_all_evars,mode check,refine.typecheck,msolve,full instance search, instance search,get_and_compile,query-compilation,static-check,optimization,runtime,chr,add_indexing,compile_clause,make_index,compiler_symb_table,pred_list,build_hash_tbl,compile_tbl,initial_runtime_state,elpitot - elpitime,ELPI TIME,COQ_TIME
options,,,,,,,,,,,,,0.0123,,,,,0.0000,0.0003,0.0003,0.0002,0.0000,0.0000,0.0001,0.0001,0.0000,-0.0123,,
TOTAL,2.0025,0.0325,5.5805,2.2318,5.0446,1.4533,,0.5020,1.3074,16.5691,14.1130,3.1356,17.8947,2.3710,0.0001,72.4970,20.5255,0.0378,8.3831,42.9797,16.0461,0.0000,0.0000,1.6301,2.5943,0.0285,48.1557,161.4440,0.0000
base,0.2180,0.0239,0.3071,0.0141,0.1445,0.0101,,0.0041,0.0104,0.2189,0.1978,0.0085,1.3459,0.0375,0.0000,2.6091,0.5394,0.0001,0.3860,1.2942,0.6996,0.0000,0.0000,0.0778,0.1333,0.0000,0.3501,4.8820,0.0000
proof_irrel,0.0203,,0.0199,0.0006,0.0014,0.0003,,0.0001,0.0003,0.0070,0.0064,0.0002,0.1584,0.0014,0.0000,0.0536,0.0282,0.0000,0.0078,0.0272,0.0132,0.0000,0.0000,0.0017,0.0029,0.0000,0.2114,0.4530,0.0000
decidable,0.0141,,0.0268,0.0055,0.0208,0.0036,,0.0016,0.0035,0.0496,0.0425,0.0038,0.1773,0.0092,0.0000,0.4216,0.0715,0.0002,0.0548,0.1786,0.1555,0.0000,0.0000,0.0109,0.0185,0.0000,0.2864,0.9660,0.0000
tactics,0.0011,0.0006,0.0011,0.0001,0.0004,0.0001,,0.0000,0.0001,0.0009,0.0008,0.0000,0.0755,0.0010,0.0000,0.0462,0.0033,0.0000,0.0066,0.0225,0.0128,0.0000,0.0000,0.0017,0.0020,0.0000,0.2850,0.4110,0.0000
option,0.0590,0.0017,0.0681,0.0202,0.0391,0.0103,,0.0047,0.0095,0.1193,0.0999,0.0075,0.5485,0.0254,0.0000,1.2223,0.2017,0.0003,0.1487,0.5956,0.3684,0.0000,0.0000,0.0333,0.0550,0.0100,0.5821,2.5800,0.0000
orders,0.0073,,0.0104,0.0013,0.0062,0.0010,,0.0005,0.0011,0.0141,0.0120,0.0013,0.3415,0.0026,0.0000,0.1350,0.0310,0.0000,0.0164,0.0796,0.0267,0.0000,0.0000,0.0035,0.0063,0.0000,0.2449,0.7550,0.0000
well_founded,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2090,0.2090,0.0000
numbers,0.0735,,0.0490,0.0252,0.0038,0.0451,,0.0050,0.0097,0.1285,0.1105,0.0149,1.5120,0.0384,0.0000,1.4343,0.2327,0.0001,0.2477,0.6605,0.4121,0.0000,0.0000,0.0357,0.0641,0.0000,0.8906,4.1080,0.0000
list,0.2076,0.0012,0.2417,0.2017,0.1459,0.0951,,0.0442,0.0874,0.9084,0.7345,0.1001,1.4197,0.2378,0.0000,7.1319,1.4123,0.0008,0.9465,3.6977,1.8563,0.0000,0.0000,0.1926,0.3341,0.0022,5.5363,15.7380,0.0000
list_numbers,,,,0.0092,0.0016,0.0042,,0.0019,0.0041,0.0343,0.0267,0.0035,0.0716,0.0098,0.0000,0.2741,0.0427,0.0000,0.0348,0.1500,0.0680,0.0000,0.0000,0.0073,0.0112,0.0000,0.9108,1.3090,0.0000
fin,0.0017,,0.0010,0.0002,0.0000,0.0001,,0.0000,0.0000,0.0006,0.0005,0.0001,0.0660,0.0004,0.0000,0.0160,0.0025,0.0000,0.0020,0.0091,0.0035,0.0000,0.0000,0.0005,0.0008,0.0000,0.2451,0.3300,0.0000
countable,0.0200,0.0003,0.0515,0.0163,0.0483,0.0096,,0.0046,0.0085,0.1177,0.1001,0.0066,0.3283,0.0181,0.0000,0.8025,0.1538,0.0000,0.0829,0.4038,0.2583,0.0000,0.0000,0.0177,0.0321,0.0000,0.6023,1.9050,0.0000
vector,0.0033,,0.0054,0.0056,0.0045,0.0027,,0.0013,0.0025,0.0283,0.0234,0.0052,0.1144,0.0055,0.0000,0.2411,0.0426,0.0000,0.0736,0.1112,0.0422,0.0000,0.0000,0.0044,0.0081,0.0000,0.4284,0.8320,0.0000
finite,0.0193,0.0004,0.1359,0.0277,0.1548,0.0181,,0.0082,0.0171,0.2952,0.2612,0.0250,0.2899,0.0351,0.0000,1.3630,0.3419,0.0000,0.2523,0.6952,0.3252,0.0000,0.0000,0.0299,0.0485,0.0000,0.5921,2.6220,0.0000
sets,0.3136,0.0009,0.3297,0.2973,0.1760,0.1363,,0.0570,0.1841,1.8159,1.5261,0.6441,1.5927,0.2476,0.0000,10.8789,2.3628,0.0103,1.3517,6.2423,2.4582,0.0000,0.0000,0.2789,0.4353,0.0064,2.7260,17.8080,0.0000
relations,0.0037,,0.0057,0.0032,0.0045,0.0019,,0.0008,0.0030,0.0337,0.0290,0.0158,0.4076,0.0052,0.0000,0.1813,0.0406,0.0000,0.0185,0.1081,0.0418,0.0000,0.0000,0.0040,0.0071,0.0000,0.6003,1.2350,0.0000
fin_sets,0.1159,,0.2566,0.2223,0.2089,0.1629,,0.0429,0.1245,1.9910,1.7875,0.9985,0.4611,0.1890,0.0000,6.1613,2.2952,0.0014,0.6724,3.7355,1.2929,0.0000,0.0000,0.1489,0.2384,0.0000,1.5584,10.6650,0.0000
fin_maps,0.4135,0.0007,2.5257,0.7997,2.6790,0.5436,,0.1973,0.4706,6.3028,5.4149,0.5657,1.4413,0.8456,0.0000,19.9267,7.2784,0.0008,2.0841,12.4148,4.0840,0.0000,0.0000,0.4399,0.6331,0.0004,9.1870,38.6790,0.0000
fin_map_dom,0.0975,0.0004,1.0534,0.2051,1.1091,0.1779,,0.0478,0.1533,2.4570,2.1647,0.4619,0.3876,0.2425,0.0000,4.1183,2.7171,0.0105,0.3584,2.7430,0.7732,0.0000,0.0000,0.0734,0.1171,0.0000,1.7455,9.2110,0.0000
listset,0.0136,,0.0084,0.0334,0.0003,0.0021,,0.0012,0.0028,0.0477,0.0431,0.0018,0.2962,0.0058,0.0000,0.3925,0.0659,0.0000,0.0564,0.2174,0.0915,0.0000,0.0000,0.0088,0.0148,0.0000,0.4286,1.1890,0.0000
lexico,0.0238,,0.0316,0.0046,0.0258,0.0030,,0.0012,0.0032,0.0481,0.0418,0.0020,0.1835,0.0079,0.0000,0.3841,0.0784,0.0066,0.0398,0.2253,0.0853,0.0000,0.0000,0.0086,0.0147,0.0000,0.3231,0.9770,0.0000
prelude,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6360,0.6360,0.0000
boolset,0.0048,,0.0049,0.0009,0.0022,0.0006,,0.0002,0.0007,0.0067,0.0056,0.0006,0.1457,0.0015,0.0000,0.1591,0.0128,0.0000,0.0660,0.0574,0.0277,0.0000,0.0000,0.0023,0.0039,0.0000,0.3289,0.6480,0.0000
mapset,0.0599,,0.0371,0.0595,0.0041,0.0214,,0.0052,0.0109,0.1439,0.1154,0.0085,0.4559,0.0194,0.0000,1.0427,0.2168,0.0000,0.0785,0.6529,0.2541,0.0000,0.0000,0.0169,0.0301,0.0001,0.5602,2.2950,0.0000
pmap,0.0071,,0.0124,0.0147,0.0117,0.0527,,0.0093,0.0079,0.1922,0.0887,0.0061,0.3210,0.0632,0.0000,1.8491,0.2469,0.0061,0.2316,1.1881,0.3183,0.0000,0.0000,0.0312,0.0494,0.0000,3.3268,5.8070,0.0000
strings,0.0026,,0.0015,0.0026,0.0003,0.0011,,0.0005,0.0003,0.0080,0.0071,0.0009,0.2049,0.0023,0.0000,0.1105,0.0144,0.0000,0.0110,0.0721,0.0193,0.0000,0.0000,0.0027,0.0041,0.0000,0.8569,1.1890,0.0000
pretty,0.0032,0.0003,0.0018,0.0101,0.0025,0.0051,,0.0020,0.0052,0.0496,0.0396,0.0128,0.1583,0.0446,0.0000,0.5395,0.0643,0.0001,0.0453,0.3587,0.0996,0.0000,0.0000,0.0145,0.0174,0.0000,0.9583,1.7650,0.0000
infinite,0.0064,,0.0086,0.0029,0.0056,0.0016,,0.0007,0.0017,0.0182,0.0149,0.0013,0.2376,0.0043,0.0000,0.2161,0.0276,0.0000,0.0259,0.1189,0.0557,0.0000,0.0000,0.0049,0.0084,0.0000,0.5994,1.0850,0.0000
gmap,0.0460,,0.0872,0.0537,0.0815,0.0487,,0.0182,0.0401,0.3469,0.2780,0.0284,0.4720,0.0791,0.0000,1.5060,0.4292,0.0001,0.1179,1.0028,0.3055,0.0000,0.0000,0.0268,0.0395,0.0000,1.6907,4.1770,0.0000
stringmap,,,,0.0057,0.0010,0.0033,,0.0013,0.0030,0.0232,0.0177,0.0023,0.0901,0.0057,0.0000,0.2566,0.0263,0.0000,0.0116,0.2067,0.0298,0.0000,0.0000,0.0028,0.0045,0.0000,0.4383,0.8170,0.0000
zmap,0.0053,,0.0039,0.0155,0.0046,0.0083,,0.0036,0.0089,0.0666,0.0499,0.0061,0.3386,0.0130,0.0000,0.4801,0.0799,0.0001,0.0428,0.3267,0.0850,0.0000,0.0000,0.0076,0.0140,0.0000,0.5734,1.4850,0.0000
hashset,0.0093,,0.0058,0.0235,0.0054,0.0145,,0.0052,0.0152,0.1032,0.0766,0.0111,0.4593,0.0254,0.0000,0.7453,0.1263,0.0001,0.0508,0.4354,0.2227,0.0000,0.0000,0.0123,0.0196,0.0000,1.0297,2.3860,0.0000
natmap,0.0055,,0.0036,0.0173,0.0027,0.0077,,0.0035,0.0095,0.0822,0.0576,0.0109,0.3192,0.0151,0.0000,0.7536,0.0986,0.0001,0.0585,0.4844,0.1683,0.0000,0.0000,0.0130,0.0215,0.0001,1.0915,2.2780,0.0000
streams,0.0096,,0.0064,0.0012,0.0001,0.0004,,0.0002,0.0005,0.0041,0.0031,0.0003,0.1095,0.0019,0.0000,0.0882,0.0150,0.0000,0.0128,0.0439,0.0234,0.0000,0.0000,0.0027,0.0043,0.0000,0.2434,0.4580,0.0000
ssreflect,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3320,0.3320,0.0000
gmultiset,0.1260,0.0003,0.1124,0.0537,0.0239,0.0232,,0.0107,0.0401,0.3359,0.2740,0.1254,0.7884,0.0398,0.0001,3.0018,0.5013,0.0001,0.3182,1.9557,0.5840,0.0000,0.0000,0.0456,0.0764,0.0000,1.5286,5.8600,0.0000
listset_nodup,0.0085,,0.0052,0.0027,0.0001,0.0009,,0.0005,0.0009,0.0082,0.0066,0.0006,0.2308,0.0150,0.0000,0.2432,0.0191,0.0000,0.0208,0.1073,0.0919,0.0000,0.0000,0.0043,0.0072,0.0092,0.3579,0.8660,0.0000
nmap,0.0051,,0.0035,0.0093,0.0022,0.0049,,0.0020,0.0134,0.0471,0.0295,0.0043,0.3984,0.0160,0.0000,0.3758,0.0578,0.0000,0.0316,0.2628,0.0611,0.0000,0.0000,0.0057,0.0109,0.0000,0.4810,1.3290,0.0000
coPset,0.0072,,0.0049,0.0029,0.0012,0.0011,,0.0006,0.0012,0.0810,0.0788,0.0012,0.2515,0.0031,0.0000,0.3095,0.0909,0.0000,0.0195,0.2372,0.0386,0.0000,0.0000,0.0046,0.0077,0.0000,1.3840,2.0390,0.0000
coGset,0.0226,,0.0992,0.0299,0.0948,0.0153,,0.0068,0.0355,0.2644,0.2151,0.0207,0.3406,0.0244,0.0000,1.3437,0.3058,0.0000,0.1752,0.8325,0.2712,0.0000,0.0000,0.0199,0.0343,0.0000,0.7555,2.7700,0.0000
propset,0.0064,,0.0152,0.0044,0.0120,0.0017,,0.0008,0.0021,0.0267,0.0230,0.0011,0.1892,0.0042,0.0000,0.3032,0.0367,0.0000,0.0238,0.2096,0.0525,0.0000,0.0000,0.0050,0.0095,0.0000,0.3007,0.8340,0.0000
functions,0.0030,,0.0019,0.0011,0.0002,0.0004,,0.0002,0.0005,0.0043,0.0033,0.0005,0.1184,0.0011,0.0000,0.0574,0.0080,0.0000,0.0082,0.0286,0.0152,0.0000,0.0000,0.0018,0.0026,0.0000,0.2441,0.4290,0.0000
hlist,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2370,0.2370,0.0000
sorting,0.0067,,0.0090,0.0047,0.0055,0.0024,,0.0010,0.0025,0.0296,0.0249,0.0075,0.2820,0.0059,0.0000,0.2177,0.0401,0.0000,0.0259,0.1279,0.0461,0.0000,0.0000,0.0055,0.0098,0.0000,0.4383,0.9840,0.0000
nat_cancel,0.0117,0.0017,0.0093,0.0001,0.0004,0.0001,,0.0000,0.0001,0.0009,0.0007,0.0001,0.1469,0.0020,0.0000,0.1593,0.0166,0.0000,0.0256,0.0735,0.0466,0.0000,0.0000,0.0047,0.0072,0.0001,0.3632,0.6880,0.0000
namespaces,0.0037,,0.0028,0.0125,0.0017,0.0048,,0.0027,0.0059,0.0596,0.0420,0.0113,0.1615,0.0073,0.0000,0.4383,0.0785,0.0000,0.0351,0.2937,0.0840,0.0000,0.0000,0.0076,0.0135,0.0000,0.5194,1.2050,0.0000
telescopes,0.0005,,0.0003,0.0006,0.0001,0.0003,,0.0002,0.0003,0.0024,0.0018,0.0001,0.0554,0.0008,0.0000,0.0206,0.0033,0.0000,0.0030,0.0102,0.0051,0.0000,0.0000,0.0008,0.0010,0.0000,0.2589,0.3390,0.0000
binders,0.0148,,0.0146,0.0090,0.0062,0.0050,,0.0021,0.0052,0.0454,0.0361,0.0070,0.3882,0.0101,0.0000,0.4859,0.0673,0.0000,0.1018,0.2808,0.0715,0.0000,0.0000,0.0073,0.0200,0.0000,0.6905,1.6420,0.0000
